2019-03-01,-3.1188939999999903
2019-03-02,-2.836557999999995
2019-03-03,-2.9728459999999894
2019-03-04,-3.044239999999994
2019-03-05,-3.434379999999993
2019-03-06,-3.5593559999999904
2019-03-07,-2.773371999999993
2019-03-08,-3.046801999999993
2019-03-09,-2.822819999999994
2019-03-10,-3.094543999999993
2019-03-11,-2.835727999999996
2019-03-12,-2.9131779999999923
2019-03-13,-3.587835999999989
2019-03-14,-3.3191199999999914
2019-03-15,-3.135001999999991
2019-03-16,-3.666567999999989
2019-03-17,-2.979173999999991
2019-03-18,-2.8350399999999913
2019-03-19,-2.9929279999999925
2019-03-20,-3.3230099999999947
2019-03-21,-3.065735999999992
2019-03-22,-3.3733099999999947
2019-03-23,-3.240273999999989
2019-03-24,-3.213259999999993
2019-03-25,-3.548479999999991
2019-03-26,-2.6669819999999915
2019-03-27,-2.601193999999991
2019-03-28,-3.1706699999999923
2019-03-29,-3.092287999999993
